#OTU ID	1.2RO	1.8RO	2.10RO	2.14RO	2.3RO	2.7RO	3.14RO	3.7RO	4.12RO	4.16RO	4.1RO	5.14RO	5.8RO	6.13RO	7.1RO	7.23RO	7.9RO	1.8RI	2.10RI	2.11RI	2.13RI	2.14RI	2.3RI	3.10RI	3.13RI	3.14RI	3.4RI	4.12RI	4.1RI	5.14RI	5.8RI	6.13RI	7.1RI	7.9RI	1.2NR	1.8NR	2.10NR	2.11NR	2.15RI	2.3NR	2.7NR	3.10NR	3.16RI	3.4NR	3.7NR	4.12NR	4.16RI	4.1NR	5.8NR	6.16RI	7.1NR	7.9NR	2.14NR	2.15NR	2.15RO	2.16NR	2.16RO	3.14NR	3.16NR	3.16RO	4.16NR	4.18NR	5.14NR	6.16NR	7.23NR	taxonomy
PWY-7111	522	1353	1406	2894	745	1354	2542	974	330	2814	6251	2097	1819	12938	872	555	1326	2152	1885	1172	1162	4962	5339	1664	1143	1957	6707	1685	6185	1825	1862	1489	1669	649	90	87	238	260	131	468	129	83	266	355	506	72	167	1871	382	140	1466	91	371	227	369	168	418	431	174	285	129	291	95	93	114	pyruvate fermentation to isobutanol (engineered)
PWY-7118	394	394	687	320	480	135	1885	583	49	1250	3912	1135	913	1259	519	57	166	853	1412	710	887	4047	3400	1349	858	1708	3420	1377	2962	1432	1117	1022	937	503	21	11	151	211	89	461	34	0	152	319	404	35	120	1324	338	93	1007	55	277	196	58	55	52	350	49	66	12	85	0	0	0	chitin degradation to ethanol
PWY-7184	460	1597	1338	3904	727	1955	1946	960	419	2856	6307	1919	1450	10855	900	823	1787	2527	1461	896	914	4027	5056	1390	983	1544	6547	1397	6889	1353	1783	1123	1590	558	64	60	172	186	119	402	93	55	291	309	402	56	163	1752	308	123	1469	67	339	196	494	124	561	411	113	351	88	180	63	62	76	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7196	229	1294	891	3286	468	1711	435	641	359	1587	3841	1058	660	739	594	717	1538	2047	488	233	277	1442	3099	588	489	408	3503	579	5140	315	1222	240	1081	271	11	6	24	12	73	145	18	0	219	138	101	20	102	1062	97	65	964	9	202	89	425	30	487	248	28	297	6	28	0	0	0	superpathway of pyrimidine ribonucleosides salvage
PWY-7197	402	1448	1187	3536	645	1772	1676	864	377	2469	5593	1662	1250	8708	808	754	1623	2284	1288	796	800	3556	4412	1233	864	1322	5662	1221	6203	1185	1595	990	1424	494	57	54	150	157	109	340	83	49	262	263	349	50	145	1564	258	110	1309	59	306	171	452	111	511	360	99	322	78	158	56	55	68	pyrimidine deoxyribonucleotide phosphorylation
PWY-7208	486	1393	1193	3376	705	1700	1902	903	373	2516	5663	1718	1352	9880	805	712	1552	2179	1382	839	889	3794	4944	1279	963	1597	5887	1389	6069	1276	1659	1062	1487	525	64	60	168	196	110	398	92	56	252	336	376	54	144	1591	353	114	1305	62	309	195	428	122	486	401	108	306	89	176	64	63	77	superpathway of pyrimidine nucleobases salvage
PWY-7209	155	95	215	54	220	43	565	320	11	592	2328	130	609	404	302	0	87	85	412	68	122	854	1464	190	182	328	1360	315	1756	302	165	143	226	122	0	0	17	8	0	96	0	0	0	91	63	0	0	496	67	0	262	0	101	41	23	0	0	92	0	0	0	32	0	0	0	superpathway of pyrimidine ribonucleosides degradation
PWY-7210	319	183	334	193	373	180	1656	681	0	1339	4729	166	974	676	650	93	251	1003	997	830	777	3246	1878	1147	739	1215	3533	1069	3921	1127	1156	962	978	448	62	59	138	151	96	309	90	54	171	196	305	52	123	1056	186	100	728	63	187	159	92	118	84	282	97	100	86	151	63	61	75	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7219	536	1678	1463	4042	806	2034	2539	1089	448	3120	6955	2141	1659	13311	986	850	1861	2645	1825	1137	1133	4924	5579	1660	1140	1910	7232	1671	7359	1722	1992	1448	1766	646	85	82	230	247	136	464	123	77	307	356	501	70	179	1975	376	143	1624	87	391	228	512	161	582	452	143	367	121	239	89	87	107	adenosine ribonucleotides de novo biosynthesis
PWY-7228	524	1512	1394	3523	781	1750	1971	927	399	2578	5684	2091	1458	9893	806	726	1598	2519	1668	1130	1142	4848	5703	1745	1214	1873	6390	1742	6281	1573	2047	1380	1822	677	81	75	207	242	151	498	117	68	315	388	481	72	194	1775	402	155	1523	83	372	248	448	157	519	510	137	343	109	213	78	77	94	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-7229	498	1593	1367	3863	748	1949	2394	1013	427	2963	6478	2020	1578	13052	919	816	1781	2517	1709	1067	1061	4609	5164	1551	1065	1790	6858	1559	6938	1621	1854	1357	1645	604	80	77	215	231	127	434	115	73	290	327	468	66	167	1829	350	134	1493	82	362	212	490	151	556	419	136	351	114	227	84	82	101	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-7235	0	0	0	0	0	0	175	44	0	0	85	0	130	279	0	0	0	0	43	0	27	104	575	0	87	104	330	37	19	0	74	2	114	31	0	0	0	0	0	18	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superpathway of ubiquinol-6 biosynthesis (eukaryotic)
PWY-7268	193	0	0	0	186	0	174	57	0	366	153	38	119	664	0	0	12	33	38	72	180	349	1365	53	274	644	1120	420	64	70	217	84	212	116	0	0	0	114	0	148	0	0	0	171	18	0	0	0	204	0	0	11	0	60	0	0	0	123	0	0	0	0	0	0	0	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
PWY-7269	276	0	0	0	258	0	236	77	0	497	205	51	160	893	0	0	16	44	51	97	252	475	1915	71	390	937	1538	602	85	94	297	114	291	163	0	0	0	171	0	218	0	0	0	261	24	0	0	0	315	0	0	15	0	87	0	0	0	177	0	0	0	0	0	0	0	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
PWY-7279	1243	4696	4091	11460	2029	5768	6959	3094	1272	8761	20043	5931	4834	40731	2853	2401	5270	7437	4947	3225	3042	13585	14134	4650	2916	4611	19951	4233	20989	4871	5511	3993	4838	1730	254	245	631	548	395	1107	366	233	876	708	1333	207	516	5435	650	419	4485	243	1050	578	1448	479	1653	1127	437	1040	363	709	268	263	322	aerobic respiration II (cytochrome c) (yeast)
PWY-7282	359	523	801	811	457	253	1894	602	107	1898	3949	1361	1143	10278	523	73	303	1171	1392	883	878	3776	3243	1270	864	1471	4783	1277	3265	1331	1333	1121	1176	488	67	65	179	197	102	350	97	62	182	267	383	55	131	1192	286	109	959	68	270	172	93	127	117	330	114	125	96	189	71	70	86	4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)
PWY-7288	927	2799	2191	6663	1352	3299	2189	1765	719	4704	11062	2723	2314	14266	1593	1373	3071	4586	2207	1442	1478	6177	9716	2123	1885	2886	11000	2578	12729	1989	3475	1673	3065	1043	99	91	213	388	215	702	144	81	534	693	512	92	287	2922	726	212	2453	108	602	373	841	195	959	813	204	615	132	320	93	92	112	fatty acid &beta;-oxidation (peroxisome, yeast)
PWY-7385	272	260	406	281	295	77	1540	451	15	1212	3105	633	781	1754	414	53	148	605	1043	732	714	2928	2127	971	641	1201	3140	1002	2357	1050	878	917	739	364	56	55	145	168	69	271	80	53	97	191	305	43	80	937	194	75	668	58	191	135	49	104	49	222	81	59	82	139	61	60	73	1,3-propanediol biosynthesis (engineered)
PWY-7388	644	263	527	204	902	57	1834	815	39	1138	4129	858	1150	1191	425	0	131	100	809	175	1071	2892	5840	421	1219	2230	4138	1862	2407	744	1547	444	1474	622	0	0	97	284	0	546	0	0	0	373	223	0	0	738	303	0	479	16	126	267	28	0	0	525	0	0	0	40	0	0	0	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
PWY-7409	283	179	358	140	305	0	377	77	34	59	115	790	161	565	0	0	8	22	233	49	340	1185	2478	245	369	981	382	660	22	339	265	258	272	142	0	0	57	173	0	264	0	0	0	265	165	0	0	226	331	0	330	8	0	85	0	0	0	174	0	0	0	0	0	0	0	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-7411	301	1016	1040	1415	535	193	1338	644	210	1832	4297	1606	1058	8548	598	191	377	1314	1324	820	831	3604	3956	1206	737	1294	4385	1161	3859	1301	1288	1072	1122	438	63	61	176	152	94	341	90	58	189	209	381	51	121	1349	194	100	1121	62	262	156	115	118	142	299	104	149	90	173	66	65	80	superpathway of phosphatidate biosynthesis (yeast)
PWY-7420	165	0	0	0	142	0	120	39	0	261	103	26	82	455	0	0	8	22	26	49	128	240	1056	36	207	523	814	318	43	47	152	57	150	85	0	0	0	98	0	119	0	0	0	160	12	0	0	0	204	0	0	8	0	46	0	0	0	96	0	0	0	0	0	0	0	monoacylglycerol metabolism (yeast)
PWY-922	364	1096	984	2610	542	1305	1704	720	293	1997	4576	1464	1112	8496	647	545	1198	1686	1201	747	773	3348	3780	1113	759	1308	4622	1133	4781	1169	1320	973	1161	422	58	56	158	172	90	310	83	53	194	241	341	47	113	1328	259	94	1064	57	251	151	329	109	375	297	88	236	82	145	61	60	73	mevalonate pathway I
PWY0-1319	251	1024	930	2432	468	1216	1112	618	272	1863	4188	1404	932	8323	583	498	1109	1589	1139	699	696	3081	3364	1033	621	1061	4215	968	4414	1105	1154	912	1019	377	54	52	149	120	83	279	77	49	186	169	324	44	110	1182	145	88	996	52	236	130	305	101	350	256	90	219	76	149	56	55	68	CDP-diacylglycerol biosynthesis II
PWY1F-823	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	13	0	0	24	234	0	0	0	0	0	26	61	21	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	leucopelargonidin and leucocyanidin biosynthesis
PWY3DJ-35471	186	0	0	0	177	0	167	56	0	344	152	38	116	593	0	0	12	32	38	71	175	345	1315	52	261	616	1050	402	64	69	208	83	202	112	0	0	0	101	0	141	0	0	0	153	17	0	0	0	173	0	0	11	0	57	0	0	0	116	0	0	0	0	0	0	0	L-ascorbate biosynthesis IV
PWY3O-355	480	0	0	0	430	0	406	148	0	484	316	51	300	1092	0	0	16	44	51	95	394	648	3271	70	631	1488	1779	964	85	93	490	112	496	251	0	0	0	282	0	358	0	0	0	451	23	0	0	0	572	0	0	15	0	146	0	0	0	299	0	0	0	0	0	0	0	stearate biosynthesis III (fungi)
PWY4FS-5	0	58	151	47	0	0	46	0	10	58	0	214	0	28	0	0	0	0	16	0	0	31	419	0	0	45	0	5	0	127	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superpathway of phosphatidylcholine biosynthesis
PWY4FS-7	166	0	0	0	173	0	162	56	0	354	152	38	116	655	0	0	12	33	38	70	171	342	1267	52	251	558	1070	385	64	69	209	82	204	109	0	0	0	91	0	133	0	0	0	139	17	0	0	0	149	0	0	10	0	55	0	0	0	112	0	0	0	0	0	0	0	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8	166	0	0	0	173	0	162	56	0	354	152	38	116	655	0	0	12	33	38	70	171	342	1267	52	251	558	1070	385	64	69	209	82	204	109	0	0	0	91	0	133	0	0	0	139	17	0	0	0	149	0	0	10	0	55	0	0	0	112	0	0	0	0	0	0	0	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY66-201	2653	3704	6195	5678	3065	2454	14312	4059	718	10772	29313	9808	9622	48961	3694	900	2650	7135	13900	11627	10276	38173	22992	13216	8228	14669	30407	13104	22213	14834	10200	13665	9222	4855	987	986	2183	2222	974	3402	1406	969	1219	2308	4136	716	1088	8377	2480	1096	6140	957	2141	1837	749	1797	913	2661	1697	794	1476	2795	1115	1094	1341	nicotine degradation IV
PWY66-374	4	4	0	18	27	29	55	0	0	27	9	3	18	0	0	4	14	67	73	20	23	96	353	52	16	42	70	14	11	12	55	17	3	18	0	0	0	0	0	60	0	0	11	20	34	0	8	10	21	0	61	0	0	14	0	0	0	28	0	0	0	0	0	0	0	C20 prostanoid biosynthesis
PWY66-375	382	1006	916	2427	491	1227	2238	715	270	1933	5186	1645	1307	10065	685	506	1121	1598	1673	1085	1044	4392	3405	1482	907	1626	4763	1412	4440	1595	1215	1372	1074	542	85	84	227	209	109	392	122	80	184	247	467	66	136	1405	248	120	1012	85	297	189	305	159	352	318	157	219	124	264	92	91	111	leukotriene biosynthesis
PWY66-388	136	3	0	0	121	0	117	30	0	4	50	2	77	156	0	3	6	23	0	37	101	156	830	31	166	406	152	260	8	64	124	44	119	67	0	0	0	82	0	96	0	0	0	133	0	0	0	7	171	0	0	6	0	37	0	0	0	77	0	0	0	0	0	0	0	fatty acid &alpha;-oxidation III
PWY66-389	2351	4197	5119	6838	2964	2786	11072	3850	794	10736	26323	8086	6900	44017	3538	1053	3253	8054	8906	6117	6044	24246	21275	8246	5815	10188	27514	8796	23694	8744	8704	7529	7621	3265	481	468	1213	1463	662	2395	690	447	1177	1892	2472	381	802	7828	2010	700	5786	476	1723	1220	981	899	1080	2157	839	959	694	1389	515	505	619	phytol degradation
PWY66-391	956	830	1329	1482	1140	639	3038	1636	125	4462	10804	1794	2491	16517	1468	247	952	2992	2708	1968	1932	7751	7989	2671	2148	3496	11184	3073	9658	2628	3378	2280	2939	1207	142	133	303	487	243	814	205	121	445	726	673	123	304	2711	780	252	1893	152	610	439	296	273	330	830	265	344	194	422	139	137	168	fatty acid &beta;-oxidation VI (peroxisome)
PWY66-398	517	1618	1483	3785	780	1864	2585	1070	425	3085	6840	2218	1714	14128	969	782	1718	2697	2002	1378	1334	5591	5538	1932	1307	2096	7482	1911	7177	1949	2227	1698	1944	741	106	102	263	277	161	501	152	96	333	375	564	86	206	2044	384	171	1658	107	422	263	482	199	559	497	178	368	150	290	110	108	133	TCA cycle III (animals)
PWY66-409	311	1211	969	2942	524	1479	701	710	319	1898	4503	1251	909	1754	656	620	1353	1899	781	294	364	2100	3635	691	601	703	4313	768	5161	572	1255	385	1152	345	13	7	45	27	76	211	20	0	213	194	163	22	109	1220	159	74	1030	10	240	112	376	33	426	285	47	269	7	56	0	0	0	superpathway of purine nucleotide salvage
PWY66-422	398	567	889	688	541	242	1795	718	97	1968	4690	1349	1166	8567	642	79	358	1088	1285	851	853	3571	3850	1200	831	1479	4752	1241	4284	1272	1317	1069	1157	471	64	62	167	198	93	363	92	59	177	280	371	51	121	1298	303	99	1013	66	256	173	105	120	97	327	105	112	92	175	68	66	81	D-galactose degradation V (Leloir pathway)
PWY6666-2	509	242	449	149	499	56	1483	466	27	747	3170	765	694	816	375	20	98	636	1793	1435	1472	5348	4028	1779	1226	2544	2948	2038	2376	1925	1455	1804	1141	653	121	121	300	432	114	572	172	119	120	493	595	87	117	1372	565	125	753	116	295	286	47	219	48	442	146	63	181	257	137	135	165	dopamine degradation
SER-GLYSYN-PWY	470	1299	1229	2921	686	1423	2250	928	332	2526	6011	1831	1421	9868	841	597	1336	2050	1649	1087	1068	4530	4692	1519	1027	1755	5994	1540	6045	1605	1717	1373	1512	584	84	81	219	234	123	417	121	77	251	316	455	67	156	1682	335	131	1364	84	340	208	372	158	420	394	133	277	120	221	89	87	107	superpathway of L-serine and glycine biosynthesis I
SO4ASSIM-PWY	229	123	230	286	238	60	568	123	34	1162	363	525	552	8309	10	0	72	116	586	152	240	939	2233	158	371	802	2775	556	213	381	334	322	367	161	0	0	46	136	0	181	0	0	12	197	117	0	14	290	234	13	256	14	110	73	0	0	0	150	35	0	0	79	0	0	0	sulfate reduction I (assimilatory)
SUCSYN-PWY	49	0	0	0	23	0	120	25	0	17	0	58	171	58	0	0	18	52	61	110	247	523	713	84	336	684	1197	512	97	109	303	129	291	152	0	0	0	117	0	158	0	0	0	144	28	0	0	0	150	0	0	16	0	73	0	0	0	140	0	0	0	0	0	0	0	sucrose biosynthesis I (from photosynthesis)
THRESYN-PWY	375	1110	990	2648	554	1327	1767	744	296	2134	4739	1470	1166	9482	667	553	1217	1766	1257	813	808	3519	3753	1172	804	1357	5006	1183	4925	1224	1381	1040	1223	453	62	60	165	179	96	324	90	57	208	250	356	51	124	1335	267	102	1101	62	268	161	335	118	383	312	104	244	89	172	66	65	79	superpathway of L-threonine biosynthesis
TRNA-CHARGING-PWY	520	1589	1401	3798	782	1918	2452	1053	426	2921	6860	2058	1606	11535	965	799	1758	2522	1780	1112	1118	4895	5392	1638	1121	1876	6833	1653	7140	1697	1944	1430	1714	630	84	81	229	246	133	447	122	76	293	350	494	70	171	1918	367	140	1584	85	376	221	483	160	551	437	143	348	120	235	88	86	105	tRNA charging
TYRFUMCAT-PWY	216	206	385	201	306	73	401	110	45	387	3171	747	408	541	324	6	106	203	394	98	330	1371	2355	429	353	834	1023	643	2256	400	327	294	260	126	0	0	79	122	0	216	15	0	12	226	173	11	0	696	243	11	458	9	33	63	22	15	11	148	42	0	5	70	0	0	0	L-tyrosine degradation I
UDPNACETYLGALSYN-PWY	348	1141	1000	2747	531	1387	1636	729	308	2069	4617	1475	1094	8500	658	577	1265	1807	1230	791	786	3376	3697	1148	779	1271	4826	1146	4951	1173	1367	1004	1208	438	61	59	161	168	95	289	88	56	213	230	345	50	125	1318	244	100	1092	62	263	152	348	115	398	297	101	250	87	165	64	63	77	UDP-N-acetyl-D-glucosamine biosynthesis II
VALSYN-PWY	485	1198	1257	2621	681	1252	2316	874	300	2488	5630	1905	1607	11376	781	526	1182	1859	1703	1067	1067	4532	4898	1512	1039	1815	5949	1546	5458	1662	1657	1359	1481	587	82	80	219	242	117	435	118	76	232	332	466	65	148	1681	359	126	1316	83	328	209	326	154	370	394	154	246	118	258	87	86	105	L-valine biosynthesis
